,title,condition,price,location,price($),country_code,store_name,store_type,simple_condition,brand,has_brand,title_length,log_price,log_title_length
0,Motorcycle Leather Jacket Motorbike Genuine Black Biker With CE Armour Black,Brand New,$117.70,United Kingdom,117.7,GB,eBay,International,New,Other,False,76,4.776599301615622,4.343805421853684
1,Men's Real Motorcycle Cafe Racer Distressed Brown Genuine Leather Biker Jacket,Brand New,$40.00,United States,40.0,US,eBay,International,New,Other,False,78,3.713572066704308,4.3694478524670215
2,Men Leather Jacket | Trucker Jacket | Genuine Black Leather Vintage Style Jacket,Brand New,$55.00,Pakistan,55.0,PK,eBay,International,New,Vintage,False,80,4.02535169073515,4.394449154672439
3,Zayn Men's Real Leather Black Motorcycle Jacket Soft Lambskin Cafe Racer Biker,Brand New,$136.99,India,136.99,IN,eBay,International,New,Other,False,78,4.927181218763463,4.3694478524670215
4,Trucker Leather Jacket For Men Real Sheepskin Vintage Style Leather Jacket Green,Brand New,$50.00,Pakistan,50.0,PK,eBay,International,New,Vintage,False,80,3.9318256327243257,4.394449154672439
5,Varsity Letterman Wool & Real Cowhide Leather Sleeves High Quality Bomber Jacket,Brand New,$89.99,United States,89.99,US,eBay,International,New,Other,False,80,4.5107496103686,4.394449154672439
7,Unisex Stylish Leather Jacket for Men and Women Biker's Jacket,Brand New,$46.07,Canada,46.07,CA,eBay,International,New,Other,False,62,3.851635855413051,4.143134726391533
8,Men's leather Jacket 100% Genuine Thick and Soft Leather Man Classic Biker Coat,Brand New,$99.00,Pakistan,99.0,PK,eBay,International,New,Other,False,79,4.605170185988092,4.382026634673881
10,Men's Real Lambskin Leather White Flight Bomber Jacket Quilted Style Biker Coat,Brand New,$133.99,India,133.99,IN,eBay,International,New,Other,False,79,4.9052007016207355,4.382026634673881
11,New Men's ALD Vanson Distressed Grey Real Leather Motorcycle Jacket,Brand New,$199.99,Pakistan,199.99,PK,eBay,International,New,Vanson,True,67,5.30325515557766,4.219507705176107
12,Men's Black Avirex Real Leather Bomber Jacket American Flight Leather Jacket,Brand New,$138.48,United Kingdom,138.48,GB,eBay,International,New,Avirex,True,76,4.93792122180745,4.343805421853684
13,Men Leather Jacket Harley Davidson Motorcycle Jacket Vintage Black BikerJacket,Brand New,$154.24,Australia,154.24,AU,eBay,International,New,Vintage,False,78,5.044972306500705,4.3694478524670215
14,Men's 100% Real Lambskin Leather Black & Brown Jacket Bomber Biker Moto Jacket,Brand New,$151.30,India,151.3,IN,eBay,International,New,Other,False,78,5.025852259901116,4.3694478524670215
15,New Mens Leather Jacket real lambskin coat biker motorcycle racer cafe Slim M763,Brand New,$129.00,India,129.0,IN,eBay,International,New,Other,False,80,4.867534450455582,4.394449154672439
16,Real Lambskin Trucker Leather Jacket For Men Vintage Style Leather Jacket Black,Brand New,$129.00,Pakistan,129.0,PK,eBay,International,New,Vintage,False,79,4.867534450455582,4.382026634673881
18,Trucker Jacket For Men Lambskin Distressed Black Vintage Style Leather Jacket,Brand New,$129.00,Pakistan,129.0,PK,eBay,International,New,Vintage,False,77,4.867534450455582,4.356708826689592
19,Dimex Motorcycle Jacket Brown Genuine Leather Biker Motorbike With CE Armour,Brand New,$117.70,United Kingdom,117.7,GB,eBay,International,New,Other,False,76,4.776599301615622,4.343805421853684
20,Men Western Cowboy Fringe Jacket Beaded Native American Real Leather Jacket,Brand New,$59.99,Pakistan,59.99,PK,eBay,International,New,Other,False,75,4.110709916308365,4.330733340286331
22,Men’s Brown Genuine Leather Bomber Jacket – Classic Flight Style Real Leather,Brand New,$119.00,Pakistan,119.0,PK,eBay,International,New,Other,False,77,4.787491742782046,4.356708826689592
23,Mens Brown Leather Jacket Real Cowhide Biker Trucker Style Jacket Coat,Brand New,$47.99,United States,47.99,US,eBay,International,New,Other,False,70,3.8916161956504833,4.2626798770413155
